name,url,remote_testing,adaptive_irt,test_types,duration
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,Yes,No,['K'],8
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,Yes,No,['K'],Error
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Yes,No,"['C', 'K']",Error
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,Yes,No,['B'],Untimed
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,['B'],Not specified
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,['B'],Error
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,Yes,No,['K'],Error
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,Yes,Yes,['K'],Error
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,['K'],Error
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,['K'],8
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,Yes,No,['K'],Error
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,['K'],10
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,Yes,No,['K'],Error
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,Yes,No,['K'],13
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Yes,No,"['C', 'K']",Error
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,Yes,No,['B'],Untimed
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,['B'],Not specified
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,['B'],Error
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,Yes,No,['K'],5
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,Yes,Yes,['K'],15 to 35
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,['K'],12
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,Yes,Yes,['K'],15 to 35
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,['K'],Error
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,Yes,No,['K'],Error
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,['K'],8
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,['K'],30
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,No,['K'],Error
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,No,['K'],Error
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,Yes,No,['K'],17
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,['K'],Error
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,Yes,No,['K'],Error
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Yes,No,['K'],9
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,Yes,No,['K'],6
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,Yes,No,['K'],10
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,Yes,No,['K'],Error
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,Yes,No,['K'],Error
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,Yes,No,['K'],Error
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,Yes,No,['K'],Error
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,Yes,Yes,['K'],Error
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,Yes,No,['K'],Error
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,Yes,No,['B'],Error
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,['B'],Error
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,['B'],Not specified
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,['B'],Error
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,Yes,No,['K'],6
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,Yes,No,['K'],Error
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,Yes,No,['K'],Error
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,Yes,No,['K'],6
